student_id,course_code,academic_year,semester,assessment_type,mark,grade,status,submission_date,examiner,moderator
STU-100123,FIN2024,2022,1,Exam,72.50,B,Pass,2022-06-15,STAFF-2045,STAFF-2046
100124,ECON1004,2022,1,Exam,85.00,A,Pass,2022-06-14,STAFF-1023,STAFF-1024
STU100125,LAW1001,2022,1,Assignment,65.5,C,Pass,2022-04-10,STAFF-4567,
100126,CS2001,2022,2,Project,92,A+,Distinction,2022-10-20,STAFF-3012,STAFF-3013
STU-100127,BIO1002,2022,2,Exam,45.00,F,Fail,2022-11-05,STAFF-2089,STAFF-2090
100128,PSY2001,2022,2,Exam,68,C+,Pass,2022-11-06,STAFF-5023,STAFF-5024
STU-100123,BUS1001,2022,1,Assignment,76,B+,Pass,2022-03-20,STAFF-2056,
100129,PHY1002,2022,1,Practical,58.75,D,Pass,2022-05-15,STAFF-6078,STAFF-6079
STU-100130,MED2003,2022,1,Exam,81.50,A-,Pass,2022-06-20,STAFF-7023,STAFF-7024
100131,SOC1001,2022,1,Essay,73.00,B,Pass,2022-04-01,STAFF-8045,STAFF-8046
STU100132,STAT2030,2022,1,Exam,62,C,Pass,2022-06-16,STAFF-1078,STAFF-1079
STU-100123,ECON2007,2022,2,Assignment,77.5,B+,Pass,2022-09-15,STAFF-1025,STAFF-1026
100124,CS3002,2022,1,Project,1200,ERROR,ERROR,2022-04-30,STAFF-3012,STAFF-3013
STU100125,PHY1002,2022,1,Exam,96.5,A+,Distinction,2022-06-18,STAFF-6078,STAFF-6079
STU-100127,ECON1004,2022,1,Test,52.00,D,Pass,2022-03-30,STAFF-1023,
100128,FIN2024,2022,1,Assignment,63.5,C,Pass,2022-03-25,STAFF-2045,STAFF-2046
STU-100123,STAT2030,2022,1,Test,79,B+,Pass,2022-04-05,STAFF-1078,STAFF-1079
100135,MAT2001,2022,2,Exam,-10,ERROR,ERROR,2022-11-10,STAFF-9012,STAFF-9013
STU-100130,AFR1001,2022,1,Oral,88.00,A,Pass,2022-05-10,STAFF-3045,STAFF-3046
100131,MAT2001,2022,2,Exam,70.50,B,Pass,2022-11-10,STAFF-9012,STAFF-9013
STU-100136,PSY1001,2022,1,Essay,73.50,B,Pass,2022-04-05,STAFF-5023,STAFF-5024
100137,CS1001,2022,1,Practical,81.00,A-,Pass,2022-05-20,STAFF-3012,STAFF-3013
STU100138,ECO1005,2022,2,Exam,67.5,C+,Pass,2022-11-12,STAFF-1023,STAFF-1024
100139,BIO1002,2022,2,Assignment,71.75,B,Pass,2022-09-05,STAFF-2089,
STU-100140,LAW1001,2022,1,Test,54.00,D,Pass,2022-03-28,STAFF-4567,STAFF-4568
100141,MAT1001,2022,1,Exam,78,B+,Pass,2022-06-12,STAFF-9012,STAFF-9013
STU-100142,AFR1001,2022,1,Assignment,90.5,A+,Distinction,2022-04-15,STAFF-3045,
100143,CHE1001,2022,1,Exam,63.25,C,Pass,2022-06-19,STAFF-6080,STAFF-6081
STU-100144,MED1001,2022,1,Practical,87.00,A,Pass,2022-05-25,STAFF-7023,STAFF-7024
100145,SOC1001,2022,1,Essay,74.50,B,Pass,2022-04-02,STAFF-8045,STAFF-8046
STU100146,PHY1001,2022,1,Exam,825,ERROR,ERROR,2022-06-13,STAFF-6078,STAFF-6079
100147,ZUL1001,2022,1,Oral,91.00,A+,Distinction,2022-05-05,STAFF-3046,STAFF-3047
STU-100148,GEO1001,2022,1,Assignment,64.25,C,Pass,2022-04-12,STAFF-6090,
100149,HIS1001,2022,1,Essay,82.50,A-,Pass,2022-04-20,STAFF-4024,STAFF-4025
STU-100150,BUS1001,2022,1,Exam,68.75,C+,Pass,2022-06-21,STAFF-2056,STAFF-2057
100151,FIN2024,2022,1,Test,72.00,B,Pass,2022-03-28,STAFF-2045,
STU-100152,ECON1004,2022,1,Assignment,83.25,A-,Pass,2022-04-08,STAFF-1023,STAFF-1024
100153,CS2001,2022,2,Exam,77.75,B+,Pass,2022-11-15,STAFF-3012,STAFF-3013
STU100154,LAW2001,2022,1,Essay,65.00,C,Pass,2022-04-18,STAFF-4567,STAFF-4568
100155,BIO2001,2022,1,Practical,72.25,B,Pass,2022-05-22,STAFF-2089,
STU-100156,MAT1001,2022,1,Exam,44.00,F,Fail,2022-06-12,STAFF-9012,STAFF-9013
100157,AFR2001,2022,2,Oral,69.50,C+,Pass,2022-11-02,STAFF-3045,STAFF-3046
STU-100158,CHE1001,2022,1,Assignment,51.75,D,Pass,2022-04-25,STAFF-6080,
100159,MED2003,2022,1,Exam,76.00,B+,Pass,2022-06-20,STAFF-7023,STAFF-7024
STU-100160,SOC2001,2022,2,Essay,84.25,A-,Pass,2022-10-15,STAFF-8045,STAFF-8046
100161,ACC1001,2022,1,Exam,61.50,C,Pass,2022-06-22,STAFF-2046,STAFF-2047
STU100162,PHY1001,2022,1,Practical,56.75,D,Pass,2022-05-18,STAFF-6078,STAFF-6079
100163,CS3002,2022,1,Project,79.00,B+,Pass,2022-04-30,STAFF-3012,
STU-100164,ZUL1001,2022,1,Assignment,93.50,A+,Distinction,2022-04-05,STAFF-3046,STAFF-3047
100165,GEO1001,2022,1,Exam,68.25,C+,Pass,2022-06-14,STAFF-6090,STAFF-6091
STU-100166,BIO1002,2022,2,Assignment,-5,ERROR,ERROR,2022-09-10,STAFF-2089,
100167,MAT2001,2022,2,Exam,75.25,B+,Pass,2022-11-10,STAFF-9012,STAFF-9013
STU100168,PSY1001,2022,1,Test,82.00,A-,Pass,2022-03-25,STAFF-5023,
100169,LAW1001,2022,1,Exam,59.75,D,Pass,2022-06-15,STAFF-4567,STAFF-4568
STU-100170,ECO1005,2022,2,Assignment,88.25,A,Pass,2022-10-05,STAFF-1023,STAFF-1024
